STUDYID,DOMAIN,USUBJID,CLSEQ,CLREFID,CLTESTCD,CLTEST,CLCAT,CLORRES,CLSTRESC,CLLOC,VISITDY,CLDTC,CLDY,CLTPT,CLTPTNUM
20214751,CL,20214751-151,1,1,CS,Clinical Sign,CLINICAL SIGNS,NORMAL,NORMAL,,1,2018-10-09,1,Immediately after dosing,2
20214751,CL,20214751-151,2,2,CS,Clinical Sign,CLINICAL SIGNS,NORMAL,NORMAL,,1,2018-10-09,1,0.5h after treatment,3
20214751,CL,20214751-151,3,3,CS,Clinical Sign,CLINICAL SIGNS,NORMAL,NORMAL,,1,2018-10-09,1,Afternoon,4
20214751,CL,20214751-151,4,4,CS,Clinical Sign,CLINICAL SIGNS,NORMAL,NORMAL,,1,2018-10-09,1,End of the Day,5
20214751,CL,20214751-151,5,5,CS,Clinical Sign,CLINICAL SIGNS,NORMAL,NORMAL,,2,2018-10-10,2,Before Dosing,1
20214751,CL,20214751-151,6,6,CS,Clinical Sign,CLINICAL SIGNS,NORMAL,NORMAL,,2,2018-10-10,2,Immediately after dosing,2
20214751,CL,20214751-151,7,7,CS,Clinical Sign,CLINICAL SIGNS,NORMAL,NORMAL,,2,2018-10-10,2,0.5h after treatment,3
20214751,CL,20214751-151,8,8,CS,Clinical Sign,CLINICAL SIGNS,NORMAL,NORMAL,,2,2018-10-10,2,Afternoon,4
20214751,CL,20214751-151,9,9,CS,Clinical Sign,CLINICAL SIGNS,NORMAL,NORMAL,,2,2018-10-10,2,End of the Day,5
20214751,CL,20214751-151,10,10,CS,Clinical Sign,CLINICAL SIGNS,NORMAL,NORMAL,,3,2018-10-11,3,Before Dosing,1
20214751,CL,20214751-151,11,11,CS,Clinical Sign,CLINICAL SIGNS,NORMAL,NORMAL,,3,2018-10-11,3,Immediately after dosing,2
20214751,CL,20214751-151,12,12,CS,Clinical Sign,CLINICAL SIGNS,NORMAL,NORMAL,,3,2018-10-11,3,0.5h after treatment,3
20214751,CL,20214751-151,13,13,CS,Clinical Sign,CLINICAL SIGNS,NORMAL,NORMAL,,3,2018-10-11,3,Afternoon,4
20214751,CL,20214751-151,14,14,CS,Clinical Sign,CLINICAL SIGNS,NORMAL,NORMAL,,3,2018-10-11,3,End of the Day,5
20214751,CL,20214751-151,15,15,CS,Clinical Sign,CLINICAL SIGNS,NORMAL,NORMAL,,4,2018-10-12,4,Before Dosing,1
20214751,CL,20214751-151,16,16,CS,Clinical Sign,CLINICAL SIGNS,NORMAL,NORMAL,,4,2018-10-12,4,Immediately after dosing,2
20214751,CL,20214751-151,17,17,CS,Clinical Sign,CLINICAL SIGNS,NORMAL,NORMAL,,4,2018-10-12,4,0.5h after treatment,3
20214751,CL,20214751-151,18,18,CS,Clinical Sign,CLINICAL SIGNS,NORMAL,NORMAL,,4,2018-10-12,4,Afternoon,4
20214751,CL,20214751-151,19,19,CS,Clinical Sign,CLINICAL SIGNS,NORMAL,NORMAL,,4,2018-10-12,4,End of the Day,5
20214751,CL,20214751-151,20,20,CS,Clinical Sign,CLINICAL SIGNS,NORMAL,NORMAL,,5,2018-10-13,5,Before Dosing,1
20214751,CL,20214751-151,21,21,CS,Clinical Sign,CLINICAL SIGNS,NORMAL,NORMAL,,5,2018-10-13,5,Immediately after dosing,2
20214751,CL,20214751-151,22,22,CS,Clinical Sign,CLINICAL SIGNS,NORMAL,NORMAL,,6,2018-10-14,6,Before Dosing,1
20214751,CL,20214751-151,23,23,CS,Clinical Sign,CLINICAL SIGNS,NORMAL,NORMAL,,6,2018-10-14,6,Immediately after dosing,2
20214751,CL,20214751-151,24,24,CS,Clinical Sign,CLINICAL SIGNS,NORMAL,NORMAL,,7,2018-10-15,7,Before Dosing,1
20214751,CL,20214751-151,25,25,CS,Clinical Sign,CLINICAL SIGNS,NORMAL,NORMAL,,7,2018-10-15,7,Afternoon,4
20214751,CL,20214751-151,26,26,CS,Clinical Sign,CLINICAL SIGNS,NORMAL,NORMAL,,7,2018-10-15,7,End of the Day,5
20214751,CL,20214751-151,27,27,CS,Clinical Sign,CLINICAL SIGNS,NORMAL,NORMAL,,8,2018-10-16,8,Before Dosing,1
20214751,CL,20214751-151,28,28,CS,Clinical Sign,CLINICAL SIGNS,NORMAL,NORMAL,,8,2018-10-16,8,Afternoon,4
20214751,CL,20214751-151,29,29,CS,Clinical Sign,CLINICAL SIGNS,NORMAL,NORMAL,,8,2018-10-16,8,End of the Day,5
20214751,CL,20214751-151,30,30,CS,Clinical Sign,CLINICAL SIGNS,NORMAL,NORMAL,,9,2018-10-17,9,Before Dosing,1
20214751,CL,20214751-151,31,31,CS,Clinical Sign,CLINICAL SIGNS,NORMAL,NORMAL,,9,2018-10-17,9,Afternoon,4
20214751,CL,20214751-151,32,32,CS,Clinical Sign,CLINICAL SIGNS,NORMAL,NORMAL,,9,2018-10-17,9,End of the Day,5
20214751,CL,20214751-151,33,33,CS,Clinical Sign,CLINICAL SIGNS,NORMAL,NORMAL,,10,2018-10-18,10,Before Dosing,1
20214751,CL,20214751-151,34,34,CS,Clinical Sign,CLINICAL SIGNS,NORMAL,NORMAL,,10,2018-10-18,10,Afternoon,4
20214751,CL,20214751-151,35,35,CS,Clinical Sign,CLINICAL SIGNS,NORMAL,NORMAL,,10,2018-10-18,10,End of the Day,5
20214751,CL,20214751-151,36,36,CS,Clinical Sign,CLINICAL SIGNS,NORMAL,NORMAL,,11,2018-10-19,11,Before Dosing,1
20214751,CL,20214751-151,37,37,CS,Clinical Sign,CLINICAL SIGNS,NORMAL,NORMAL,,11,2018-10-19,11,Afternoon,4
20214751,CL,20214751-151,38,38,CS,Clinical Sign,CLINICAL SIGNS,NORMAL,NORMAL,,11,2018-10-19,11,End of the Day,5
20214751,CL,20214751-151,39,39,CS,Clinical Sign,CLINICAL SIGNS,NORMAL,NORMAL,,12,2018-10-20,12,Before Dosing,1
20214751,CL,20214751-151,40,40,CS,Clinical Sign,CLINICAL SIGNS,NORMAL,NORMAL,,12,2018-10-20,12,Immediately after dosing,2
20214751,CL,20214751-151,41,41,CS,Clinical Sign,CLINICAL SIGNS,NORMAL,NORMAL,,13,2018-10-21,13,Before Dosing,1
20214751,CL,20214751-151,42,42,CS,Clinical Sign,CLINICAL SIGNS,NORMAL,NORMAL,,13,2018-10-21,13,Immediately after dosing,2
20214751,CL,20214751-151,43,43,CS,Clinical Sign,CLINICAL SIGNS,NORMAL,NORMAL,,14,2018-10-22,14,Before Dosing,1
20214751,CL,20214751-151,44,44,CS,Clinical Sign,CLINICAL SIGNS,NORMAL,NORMAL,,14,2018-10-22,14,Afternoon,4
