STUDYID,DOMAIN,USUBJID,SCSEQ,SCTESTCD,SCTEST,SCORRES,SCSTRESC
20214751,SC,20214751-151,1,SPLRNAM,Test Subject Supplier Name,Charles River Laboratories Sandhofer Weg 7 97633 Sulzfeld Germany,Charles River Laboratories Sandhofer Weg 7 97633 Sulzfeld Germany
20214751,SC,20214751-152,2,SPLRNAM,Test Subject Supplier Name,Charles River Laboratories Sandhofer Weg 7 97633 Sulzfeld Germany,Charles River Laboratories Sandhofer Weg 7 97633 Sulzfeld Germany
20214751,SC,20214751-153,3,SPLRNAM,Test Subject Supplier Name,Charles River Laboratories Sandhofer Weg 7 97633 Sulzfeld Germany,Charles River Laboratories Sandhofer Weg 7 97633 Sulzfeld Germany
20214751,SC,20214751-154,4,SPLRNAM,Test Subject Supplier Name,Charles River Laboratories Sandhofer Weg 7 97633 Sulzfeld Germany,Charles River Laboratories Sandhofer Weg 7 97633 Sulzfeld Germany
20214751,SC,20214751-155,5,SPLRNAM,Test Subject Supplier Name,Charles River Laboratories Sandhofer Weg 7 97633 Sulzfeld Germany,Charles River Laboratories Sandhofer Weg 7 97633 Sulzfeld Germany
20214751,SC,20214751-156,6,SPLRNAM,Test Subject Supplier Name,Charles River Laboratories Sandhofer Weg 7 97633 Sulzfeld Germany,Charles River Laboratories Sandhofer Weg 7 97633 Sulzfeld Germany
20214751,SC,20214751-251,7,SPLRNAM,Test Subject Supplier Name,Charles River Laboratories Sandhofer Weg 7 97633 Sulzfeld Germany,Charles River Laboratories Sandhofer Weg 7 97633 Sulzfeld Germany
20214751,SC,20214751-252,8,SPLRNAM,Test Subject Supplier Name,Charles River Laboratories Sandhofer Weg 7 97633 Sulzfeld Germany,Charles River Laboratories Sandhofer Weg 7 97633 Sulzfeld Germany
20214751,SC,20214751-253,9,SPLRNAM,Test Subject Supplier Name,Charles River Laboratories Sandhofer Weg 7 97633 Sulzfeld Germany,Charles River Laboratories Sandhofer Weg 7 97633 Sulzfeld Germany
20214751,SC,20214751-254,10,SPLRNAM,Test Subject Supplier Name,Charles River Laboratories Sandhofer Weg 7 97633 Sulzfeld Germany,Charles River Laboratories Sandhofer Weg 7 97633 Sulzfeld Germany
20214751,SC,20214751-255,11,SPLRNAM,Test Subject Supplier Name,Charles River Laboratories Sandhofer Weg 7 97633 Sulzfeld Germany,Charles River Laboratories Sandhofer Weg 7 97633 Sulzfeld Germany
20214751,SC,20214751-256,12,SPLRNAM,Test Subject Supplier Name,Charles River Laboratories Sandhofer Weg 7 97633 Sulzfeld Germany,Charles River Laboratories Sandhofer Weg 7 97633 Sulzfeld Germany
20214751,SC,20214751-351,13,SPLRNAM,Test Subject Supplier Name,Charles River Laboratories Sandhofer Weg 7 97633 Sulzfeld Germany,Charles River Laboratories Sandhofer Weg 7 97633 Sulzfeld Germany
20214751,SC,20214751-352,14,SPLRNAM,Test Subject Supplier Name,Charles River Laboratories Sandhofer Weg 7 97633 Sulzfeld Germany,Charles River Laboratories Sandhofer Weg 7 97633 Sulzfeld Germany
20214751,SC,20214751-353,15,SPLRNAM,Test Subject Supplier Name,Charles River Laboratories Sandhofer Weg 7 97633 Sulzfeld Germany,Charles River Laboratories Sandhofer Weg 7 97633 Sulzfeld Germany
20214751,SC,20214751-354,16,SPLRNAM,Test Subject Supplier Name,Charles River Laboratories Sandhofer Weg 7 97633 Sulzfeld Germany,Charles River Laboratories Sandhofer Weg 7 97633 Sulzfeld Germany
20214751,SC,20214751-355,17,SPLRNAM,Test Subject Supplier Name,Charles River Laboratories Sandhofer Weg 7 97633 Sulzfeld Germany,Charles River Laboratories Sandhofer Weg 7 97633 Sulzfeld Germany
20214751,SC,20214751-356,18,SPLRNAM,Test Subject Supplier Name,Charles River Laboratories Sandhofer Weg 7 97633 Sulzfeld Germany,Charles River Laboratories Sandhofer Weg 7 97633 Sulzfeld Germany
