STUDYID,DOMAIN,ARMCD,ARM,TAETORD,ETCD,ELEMENT,EPOCH
20214751,TA,1,Vehicle Control,1,PTEST,Pretest,Pretest
20214751,TA,1,Vehicle Control,2,CNTRL,Vehicle Control,Treatment
20214751,TA,2,ACT-709478 250 mg/kg/day,1,PTEST,Pretest,Pretest
20214751,TA,2,ACT-709478 250 mg/kg/day,2,TRT1,ACT-709478 250 mg/kg/day,Treatment
20214751,TA,3,ACT-709478 250mg/kg/day + NaI 3.5/10 mg/kg/day,1,PTEST,Pretest,Pretest
20214751,TA,3,ACT-709478 250mg/kg/day + NaI 3.5/10 mg/kg/day,2,TRT2A,ACT-709478 250mg/kg/day + NaI 3.5 mg/kg/day,Treatment
20214751,TA,3,ACT-709478 250mg/kg/day + NaI 3.5/10 mg/kg/day,3,TRT2B,ACT-709478 250mg/kg/day + NaI 10 mg/kg/day,Treatment
20214751,TA,4,ACT-709478 250mg/kg/day + NaI 35 mg/kg/day,1,PTEST,Pretest,Pretest
20214751,TA,4,ACT-709478 250mg/kg/day + NaI 35 mg/kg/day,2,TRT3,ACT-709478 250mg/kg/day + NaI 35 mg/kg/day,Treatment
20214751,TA,5,NaI 35/10 mg/kg/day,1,PTEST,Pretest,Pretest
20214751,TA,5,NaI 35/10 mg/kg/day,2,TRT4A,NaI 35 mg/kg/day,Treatment
20214751,TA,5,NaI 35/10 mg/kg/day,3,TRT4B,NaI 10 mg/kg/day,Treatment
