"STUDYID","DOMAIN","USUBJID","DSSEQ","DSTERM","DSDECOD","VISITDY","DSSTDTC","DSSTDY"
"S-00001","DS","S-00001-151","1","Day 46 sacrifice","TERMINAL SACRIFICE","46","2018-11-23","46"
"S-00001","DS","S-00001-152","2","Day 46 sacrifice","TERMINAL SACRIFICE","46","2018-11-23","46"
"S-00001","DS","S-00001-153","3","Day 46 sacrifice","TERMINAL SACRIFICE","46","2018-11-23","46"
"S-00001","DS","S-00001-154","4","Day 46 sacrifice","TERMINAL SACRIFICE","46","2018-11-23","46"
"S-00001","DS","S-00001-155","5","Day 46 sacrifice","TERMINAL SACRIFICE","46","2018-11-23","46"
"S-00001","DS","S-00001-156","6","Day 46 sacrifice","TERMINAL SACRIFICE","46","2018-11-23","46"
"S-00001","DS","S-00001-251","7","Day 46 sacrifice","TERMINAL SACRIFICE","46","2018-11-23","46"
"S-00001","DS","S-00001-252","8","Day 46 sacrifice","TERMINAL SACRIFICE","46","2018-11-23","46"
"S-00001","DS","S-00001-253","9","Day 46 sacrifice","TERMINAL SACRIFICE","46","2018-11-23","46"
"S-00001","DS","S-00001-254","10","Day 46 sacrifice","TERMINAL SACRIFICE","46","2018-11-23","46"
"S-00001","DS","S-00001-255","11","Day 46 sacrifice","TERMINAL SACRIFICE","46","2018-11-23","46"
"S-00001","DS","S-00001-256","12","Day 46 sacrifice","TERMINAL SACRIFICE","46","2018-11-23","46"
"S-00001","DS","S-00001-351","13","Day 46 sacrifice","TERMINAL SACRIFICE","46","2018-11-23","46"
"S-00001","DS","S-00001-352","14","Day 46 sacrifice","TERMINAL SACRIFICE","46","2018-11-23","46"
"S-00001","DS","S-00001-353","15","Day 46 sacrifice","TERMINAL SACRIFICE","46","2018-11-23","46"
"S-00001","DS","S-00001-354","16","Day 46 sacrifice","TERMINAL SACRIFICE","46","2018-11-23","46"
"S-00001","DS","S-00001-355","17","Day 46 sacrifice","TERMINAL SACRIFICE","46","2018-11-23","46"
"S-00001","DS","S-00001-356","18","Day 46 sacrifice","TERMINAL SACRIFICE","46","2018-11-23","46"
"S-00001","DS","S-00001-451","19","Day 32 sacrifice","TERMINAL SACRIFICE","32","2018-11-09","32"
"S-00001","DS","S-00001-452","20","Day 32 sacrifice","TERMINAL SACRIFICE","32","2018-11-09","32"
"S-00001","DS","S-00001-453","21","Day 32 sacrifice","TERMINAL SACRIFICE","32","2018-11-09","32"
"S-00001","DS","S-00001-454","22","Day 32 sacrifice","TERMINAL SACRIFICE","32","2018-11-09","32"
"S-00001","DS","S-00001-455","23","Day 32 sacrifice","TERMINAL SACRIFICE","32","2018-11-09","32"
"S-00001","DS","S-00001-456","24","Day 32 sacrifice","TERMINAL SACRIFICE","32","2018-11-09","32"
"S-00001","DS","S-00001-551","25","Day 46 sacrifice","TERMINAL SACRIFICE","46","2018-11-23","46"
"S-00001","DS","S-00001-552","26","Day 46 sacrifice","TERMINAL SACRIFICE","46","2018-11-23","46"
"S-00001","DS","S-00001-553","27","Day 46 sacrifice","TERMINAL SACRIFICE","46","2018-11-23","46"
"S-00001","DS","S-00001-554","28","Day 46 sacrifice","TERMINAL SACRIFICE","46","2018-11-23","46"
"S-00001","DS","S-00001-555","29","Day 46 sacrifice","TERMINAL SACRIFICE","46","2018-11-23","46"
"S-00001","DS","S-00001-556","30","Day 46 sacrifice","TERMINAL SACRIFICE","46","2018-11-23","46"
