"STUDYID","DOMAIN","USUBJID","MASEQ","MAREFID","MATESTCD","MATEST","MAORRES","MASTRESC","MASPEC","MAANTREG","MALAT","MADTC","MADY"
"S-00001","MA","S-00001-151","1","1","GROSPATH","Gross Pathological Examination","NORMAL","NORMAL","BODY CAVITY, CRANIAL","","","2018-11-23","46"
"S-00001","MA","S-00001-151","2","31","GROSPATH","Gross Pathological Examination","NORMAL","NORMAL","BODY CAVITY, THORACIC","","","2018-11-23","46"
"S-00001","MA","S-00001-151","3","61","GROSPATH","Gross Pathological Examination","NORMAL","NORMAL","ABDOMINAL/PELVIC CAVITIES","","","2018-11-23","46"
"S-00001","MA","S-00001-151","4","91","GROSPATH","Gross Pathological Examination","NORMAL","NORMAL","EYE","","BILATERAL","2018-11-23","46"
"S-00001","MA","S-00001-151","5","121","GROSPATH","Gross Pathological Examination","NORMAL","NORMAL","LIVER","","","2018-11-23","46"
"S-00001","MA","S-00001-151","6","151","GROSPATH","Gross Pathological Examination","NORMAL","NORMAL","GLAND, THYROID","","","2018-11-23","46"
"S-00001","MA","S-00001-152","7","2","GROSPATH","Gross Pathological Examination","NORMAL","NORMAL","BODY CAVITY, CRANIAL","","","2018-11-23","46"
"S-00001","MA","S-00001-152","8","32","GROSPATH","Gross Pathological Examination","NORMAL","NORMAL","BODY CAVITY, THORACIC","","","2018-11-23","46"
"S-00001","MA","S-00001-152","9","62","GROSPATH","Gross Pathological Examination","NORMAL","NORMAL","ABDOMINAL/PELVIC CAVITIES","","","2018-11-23","46"
"S-00001","MA","S-00001-152","10","92","GROSPATH","Gross Pathological Examination","NORMAL","NORMAL","EYE","","BILATERAL","2018-11-23","46"
"S-00001","MA","S-00001-152","11","122","GROSPATH","Gross Pathological Examination","NORMAL","NORMAL","LIVER","","","2018-11-23","46"
"S-00001","MA","S-00001-152","12","152","GROSPATH","Gross Pathological Examination","NORMAL","NORMAL","GLAND, THYROID","","","2018-11-23","46"
"S-00001","MA","S-00001-153","13","3","GROSPATH","Gross Pathological Examination","NORMAL","NORMAL","BODY CAVITY, CRANIAL","","","2018-11-23","46"
"S-00001","MA","S-00001-153","14","33","GROSPATH","Gross Pathological Examination","NORMAL","NORMAL","BODY CAVITY, THORACIC","","","2018-11-23","46"
"S-00001","MA","S-00001-153","15","63","GROSPATH","Gross Pathological Examination","NORMAL","NORMAL","ABDOMINAL/PELVIC CAVITIES","","","2018-11-23","46"
"S-00001","MA","S-00001-153","16","93","GROSPATH","Gross Pathological Examination","NORMAL","NORMAL","EYE","","BILATERAL","2018-11-23","46"
"S-00001","MA","S-00001-153","17","123","GROSPATH","Gross Pathological Examination","NORMAL","NORMAL","LIVER","","","2018-11-23","46"
"S-00001","MA","S-00001-153","18","153","GROSPATH","Gross Pathological Examination","NORMAL","NORMAL","GLAND, THYROID","","","2018-11-23","46"
"S-00001","MA","S-00001-154","19","4","GROSPATH","Gross Pathological Examination","NORMAL","NORMAL","BODY CAVITY, CRANIAL","","","2018-11-23","46"
