"STUDYID","DOMAIN","USUBJID","OMSEQ","OMTESTCD","OMTEST","OMORRES","OMORRESU","OMSTRESC","OMSTRESN","OMSTRESU","OMSPEC","OMDTC","OMDY"
"S-00001","OM","S-00001-151","1","WEIGHT","Weight","0.014","g","0.014","0.014","g","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
"S-00001","OM","S-00001-152","2","WEIGHT","Weight","0.016","g","0.016","0.016","g","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
"S-00001","OM","S-00001-153","3","WEIGHT","Weight","0.017","g","0.017","0.017","g","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
"S-00001","OM","S-00001-154","4","WEIGHT","Weight","0.009","g","0.009","0.009","g","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
"S-00001","OM","S-00001-155","5","WEIGHT","Weight","0.015","g","0.015","0.015","g","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
"S-00001","OM","S-00001-156","6","WEIGHT","Weight","0.014","g","0.014","0.014","g","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
"S-00001","OM","S-00001-251","7","WEIGHT","Weight","0.032","g","0.032","0.032","g","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
"S-00001","OM","S-00001-252","8","WEIGHT","Weight","0.023","g","0.023","0.023","g","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
"S-00001","OM","S-00001-253","9","WEIGHT","Weight","0.021","g","0.021","0.021","g","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
"S-00001","OM","S-00001-254","10","WEIGHT","Weight","0.026","g","0.026","0.026","g","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
"S-00001","OM","S-00001-255","11","WEIGHT","Weight","0.030","g","0.030","0.03","g","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
"S-00001","OM","S-00001-256","12","WEIGHT","Weight","0.026","g","0.026","0.026","g","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
"S-00001","OM","S-00001-351","13","WEIGHT","Weight","0.018","g","0.018","0.018","g","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
"S-00001","OM","S-00001-352","14","WEIGHT","Weight","0.028","g","0.028","0.028","g","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
"S-00001","OM","S-00001-353","15","WEIGHT","Weight","0.025","g","0.025","0.025","g","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
"S-00001","OM","S-00001-354","16","WEIGHT","Weight","0.019","g","0.019","0.019","g","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
"S-00001","OM","S-00001-355","17","WEIGHT","Weight","0.019","g","0.019","0.019","g","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
"S-00001","OM","S-00001-356","18","WEIGHT","Weight","0.026","g","0.026","0.026","g","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
"S-00001","OM","S-00001-451","19","WEIGHT","Weight","0.032","g","0.032","0.032","g","GLAND, THYROID/GLAND, PARATHYROID","2018-11-09","32"
"S-00001","OM","S-00001-452","20","WEIGHT","Weight","0.024","g","0.024","0.024","g","GLAND, THYROID/GLAND, PARATHYROID","2018-11-09","32"
"S-00001","OM","S-00001-453","21","WEIGHT","Weight","0.025","g","0.025","0.025","g","GLAND, THYROID/GLAND, PARATHYROID","2018-11-09","32"
"S-00001","OM","S-00001-454","22","WEIGHT","Weight","0.034","g","0.034","0.034","g","GLAND, THYROID/GLAND, PARATHYROID","2018-11-09","32"
"S-00001","OM","S-00001-455","23","WEIGHT","Weight","0.040","g","0.040","0.04","g","GLAND, THYROID/GLAND, PARATHYROID","2018-11-09","32"
"S-00001","OM","S-00001-456","24","WEIGHT","Weight","0.030","g","0.030","0.03","g","GLAND, THYROID/GLAND, PARATHYROID","2018-11-09","32"
"S-00001","OM","S-00001-551","25","WEIGHT","Weight","0.012","g","0.012","0.012","g","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
"S-00001","OM","S-00001-552","26","WEIGHT","Weight","0.011","g","0.011","0.011","g","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
"S-00001","OM","S-00001-553","27","WEIGHT","Weight","0.011","g","0.011","0.011","g","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
"S-00001","OM","S-00001-554","28","WEIGHT","Weight","0.026","g","0.026","0.026","g","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
"S-00001","OM","S-00001-555","29","WEIGHT","Weight","0.028","g","0.028","0.028","g","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
"S-00001","OM","S-00001-556","30","WEIGHT","Weight","0.016","g","0.016","0.016","g","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
"S-00001","OM","S-00001-151","31","OWBW","Organ to Body Weight Ratio","0.0059","%","0.0059","0.0059","%","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
"S-00001","OM","S-00001-152","32","OWBW","Organ to Body Weight Ratio","0.0079","%","0.0079","0.0079","%","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
"S-00001","OM","S-00001-153","33","OWBW","Organ to Body Weight Ratio","0.0069","%","0.0069","0.0069","%","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
"S-00001","OM","S-00001-154","34","OWBW","Organ to Body Weight Ratio","0.0043","%","0.0043","0.0043","%","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
"S-00001","OM","S-00001-155","35","OWBW","Organ to Body Weight Ratio","0.0061","%","0.0061","0.0061","%","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
"S-00001","OM","S-00001-156","36","OWBW","Organ to Body Weight Ratio","0.0061","%","0.0061","0.0061","%","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
